2026-03-28 03:58:12,250 | INFO | MainThread | Raw rows found: 7
2026-03-28 03:58:12,252 | INFO | MainThread | Already processed submissions: 0
2026-03-28 03:58:12,253 | INFO | MainThread | Already processed drive file IDs: 0
2026-03-28 03:58:12,254 | INFO | MainThread | Already processed operation numbers: 0
2026-03-28 03:58:12,254 | INFO | MainThread | Pending submissions: 11
2026-03-28 03:58:12,255 | INFO | MainThread | Using model 'gpt-5-nano' with max_workers=8.
2026-03-28 03:58:12,726 | INFO | ThreadPoolExecutor-0_0 | file_cache is only supported with oauth2client<4.0.0
2026-03-28 03:58:12,730 | INFO | ThreadPoolExecutor-0_2 | file_cache is only supported with oauth2client<4.0.0
2026-03-28 03:58:12,730 | INFO | ThreadPoolExecutor-0_4 | file_cache is only supported with oauth2client<4.0.0
2026-03-28 03:58:12,730 | INFO | ThreadPoolExecutor-0_6 | file_cache is only supported with oauth2client<4.0.0
2026-03-28 03:58:12,730 | INFO | ThreadPoolExecutor-0_5 | file_cache is only supported with oauth2client<4.0.0
2026-03-28 03:58:12,730 | INFO | ThreadPoolExecutor-0_7 | file_cache is only supported with oauth2client<4.0.0
2026-03-28 03:58:12,730 | INFO | ThreadPoolExecutor-0_1 | file_cache is only supported with oauth2client<4.0.0
2026-03-28 03:58:12,731 | INFO | ThreadPoolExecutor-0_3 | file_cache is only supported with oauth2client<4.0.0
2026-03-28 03:58:17,400 | INFO | MainThread | Completed raw row 8 with status 'duplicate_file_content'.
2026-03-28 03:58:17,410 | INFO | MainThread | Completed raw row 8 with status 'duplicate_file_content'.
2026-03-28 03:58:18,245 | INFO | MainThread | Completed raw row 8 with status 'duplicate_file_content'.
2026-03-28 03:58:18,246 | INFO | MainThread | Completed raw row 8 with status 'duplicate_file_content'.
2026-03-28 03:58:19,018 | INFO | MainThread | Completed raw row 8 with status 'duplicate_file_content'.
2026-03-28 03:58:31,891 | INFO | ThreadPoolExecutor-0_3 | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-03-28 03:58:32,128 | INFO | MainThread | Completed raw row 5 with status 'ok'.
2026-03-28 03:58:33,069 | INFO | ThreadPoolExecutor-0_0 | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-03-28 03:58:33,198 | INFO | MainThread | Completed raw row 2 with status 'ok'.
2026-03-28 03:58:33,324 | INFO | ThreadPoolExecutor-0_4 | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-03-28 03:58:33,440 | INFO | MainThread | Completed raw row 6 with status 'ok'.
2026-03-28 03:58:34,861 | INFO | ThreadPoolExecutor-0_5 | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-03-28 03:58:34,973 | INFO | MainThread | Completed raw row 7 with status 'ok'.
